,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
1,3227975250,1176778026,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,40029,Novus Entertainment Inc.,70.36.53.42,49.2788,-123.1139
2,1614226523,3227975250,6327,Shaw Communications Inc.,96.55.36.91,49.1889,-122.873,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
9,3227975251,1268628388,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,75.157.187.164,49.8928,-119.4852
10,1268497742,3227975250,852,TELUS Communications Inc.,75.155.189.78,49.2475,-123.121,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
14,3227975250,3330677851,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167
19,3330677851,3227975250,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
20,3350650146,3227975250,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
22,875246285,3227975250,16509,"Amazon.com, Inc.",52.43.50.205,45.8696,-119.688,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
29,3227975250,3091469318,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6327,Shaw Communications Inc.,184.68.20.6,49.2436,-122.7865
30,1268497742,3227975251,852,TELUS Communications Inc.,75.155.189.78,49.2475,-123.121,395152,CloudPBX,192.102.254.83,43.6319,-79.3716
38,3227975251,3640363090,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,14007,Skyway West,216.251.136.82,49.2788,-123.1139
44,3227975251,2731908580,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,54527,Astute Hosting Inc.,162.213.157.228,49.2866,-123.1158
55,3640363090,3227975251,14007,Skyway West,216.251.136.82,49.2788,-123.1139,395152,CloudPBX,192.102.254.83,43.6319,-79.3716
60,3227975250,1823229904,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,108.172.71.208,49.2475,-123.121
65,1653563098,3227975251,19171,Stargate Connections Inc.,98.143.94.218,49.2767,-123.13,395152,CloudPBX,192.102.254.83,43.6319,-79.3716
69,1268498338,3227975250,852,TELUS Communications Inc.,75.155.191.162,49.2475,-123.121,395152,CloudPBX,192.102.254.82,43.6319,-79.3716
